Id,Label,timeset,category,Polygon
1,Bosquet,,gram_16,4
2,Cauchie,,gram_16,4
3,R_Estienne,,gram_16,4
4,Garnier,,gram_16,4
5,Matthieu,,gram_16,4
6,Meigret,,gram_16,4
7,Palsgrave,,gram_16,4
8,Pillot,,gram_16,4
9,Ramus,,gram_16,4
10,Serreius,,gram_16,4
11,Sylvius,,gram_16,4
12,Amyot,,aut,
13,Auguste,,antiquite,
14,Baïf,,aut,
15,Barclay,,aut,
16,Beatus,,aut,
17,Bergeron,,aut,
18,Budé,,aut,
19,Calepin,,aut,
20,César,,antiquite,
21,Cicéron,,antiquite,
22,Claude,,antiquite,
23,Corvinus,,antiquite,
24,Des_Autels,,aut,
25,Diomède,,antiquite,
26,Dolet,,aut,
27,Donat,,antiquite,
28,du_Bellay,,aut,
29,Du_Wes,,aut,
30,Érasme,,aut,
31,Glareanus,,aut,
32,Grégoire_T,,moyenage,
33,Grenier,,aut,
34,Hesychius,,antiquite,
35,Manuce,,aut,
36,Capella,,antiquite,
37,Nebrija,,aut,
38,Negro,,aut,
39,Nonius,,antiquite,
40,Pasquier,,aut,
41,Peletier_M,,aut,
42,Perotti,,aut,
43,Platon,,antiquite,
44,Plutarque,,antiquite,
46,Probus,,antiquite,
47,Quintilien,,antiquite,
48,Riedesell,,aut,
49,Servius,,antiquite,
50,Strabon,,antiquite,
51,Suidas,,moyenage,
52,Tacite,,antiquite,
53,Théodore_G,,aut,
54,Tory,,aut,
55,Valence,,aut,
56,Varron,,antiquite,
57,GGR,,gram_17,5
58,Chiflet,,gram_17,5
60,Irson,,gram_17,5
62,Maupas,,gram_17,5
63,Oudin,,gram_17,5
64,Vairasse,,gram_17,5
65,Académie,,aut,
67,Aristote,,antiquite,
68,d'Andilly,,aut,
71,Borel,,aut,
74,Caseneuve,,aut,
75,Chapelain,,aut,
77,Chrysoloras,,aut,
81,Desmarets,,aut,
83,Dupleix,,aut,
84,H_Estienne,,gram_16,4
86,Isidore,,aut,
87,La_Mothe,,aut,
89,Laval,,aut,
90,Lesclache,,aut,
91,Malherbe,,aut,
92,Ménage,,aut,
93,Mercier,,aut,
94,Monet,,aut,
95,Naudé,,aut,
99,JJ_Scaliger,,aut,
100,JC_Scaliger,,aut,
102,st_Thomas,,moyenage,
103,Vaugelas,,aut,
104,Priscien,,antiquite,
105,R_Garnier,,aut,
200,Meurier,,aut,
201,Perse,,antiquite,
202,Festus,,antiquite,
203,Mitallier,,aut,
204,Porphyrion,,antiquite,
205,Lucien,,antiquite,
206,Sturm,,aut,
207,Censorinus,,antiquite,
208,Macer,,antiquite,
209,Papirianus,,antiquite,
210,Valla,,aut,
211,Buxtorf,,aut,
212,Bary,,aut,
213,Perrot,,aut,
214,Cureau,,aut,
215,Marot,,aut,
